e, e_dot, e_int, stamp, 
5.914168706259755, 1.4420164617945375e-07, 1.182833735522611, 43249000000, 
5.914168678304504, 4.9081180601244036e-08, 1.1828337365429604, 43351000000, 
5.914168658562723, -1.589901070057446e-07, 1.1828337362084653, 43453000000, 
5.913016889893858, -0.003839294702154087, 1.182756948450739, 43521000000, 
5.903931363774265, -0.03412431596152565, 1.1820744608153897, 43623000000, 
5.897145709001782, -0.052903936306920585, 1.180939597511327, 43691000000, 
5.886962565212135, -0.05656266187376543, 1.1792026425325455, 43793000000, 
5.8767745301734, -0.06790392942794081, 1.1773921869591544, 43895000000, 
5.866581513298333, -0.06793683971267524, 1.175354573912258, 43997000000, 
5.859784841038523, -0.056632297116256204, 1.173542725634017, 44065000000, 
5.849592630623432, -0.05662960891633576, 1.1717305989973525, 44167000000, 
5.842801085641406, -0.05661251799039017, 1.1701452371535574, 44235000000, 
5.832617428177867, -0.056584008151882394, 1.1683340762961805, 44337000000, 
5.822430945682859, -0.06790046652848918, 1.1665232973001423, 44439000000, 
5.812239658105856, -0.06792590024003786, 1.1644858687977722, 44541000000, 
5.805442788269566, -0.056627191377642085, 1.1626742261372187, 44609000000, 
5.79524570715896, -0.05664650315631903, 1.160861876902292, 44711000000, 
5.785051087819933, -0.06797233483211151, 1.1590493055498972, 44813000000, 
5.778256865850508, -0.056629471028175615, 1.15723691072196, 44881000000, 
5.768066525142973, -0.05661520892320008, 1.1554249652542274, 44983000000, 
5.757873341181963, -0.0679450822284829, 1.1536131154783626, 45085000000, 
5.747675964373323, -0.06796853589883393, 1.1515743887132173, 45187000000, 
5.737477241632445, -0.06798699849839274, 1.1495351031458485, 45289000000, 
5.730678880466728, -0.056656946355314965, 1.1477221390981664, 45357000000, 
5.723881568661159, -0.04531890990428759, 1.146135846050689, 45425000000, 
5.71368673954561, -0.056640469737061494, 1.1445498125782332, 45527000000, 
5.703490707513958, -0.06796953715733522, 1.142737267714715, 45629000000, 
5.696691780614602, -0.05664986310335962, 1.1409246151782781, 45697000000, 
5.686491441241947, -0.0566642209067029, 1.1391115952913673, 45799000000, 
5.676294460128941, -0.06799106828553707, 1.1372985121323658, 45901000000, 
5.66612098143338, -0.06790153269522332, 1.135260458853618, 46003000000, 
5.659342230138746, -0.05650743330064915, 1.1334505114467377, 46071000000, 
5.649159595014058, -0.056537954731075146, 1.1316415204390788, 46173000000, 
5.638979540586751, -0.06787563183998202, 1.1298320910493036, 46275000000, 
5.6287983564199715, -0.06787079531362039, 1.1277958328013853, 46377000000, 
5.618610394489492, -0.06789715365753086, 1.1257592194330812, 46479000000, 
5.611815819642932, -0.05660845592346438, 1.123948304703493, 46547000000, 
5.601629164586086, -0.05660409967802001, 1.1221370252479008, 46649000000, 
5.591442720296494, -0.06791033115479313, 1.1203258469683675, 46751000000, 
5.5812544348282795, -0.06791576585935506, 1.1182884213140571, 46853000000, 
5.57446345384693, -0.056597554831879414, 1.1164773739314469, 46921000000, 
5.564278871875122, -0.05658520984385795, 1.1146664507033552, 47023000000, 
5.554095399589304, -0.06789351419208778, 1.1128558483540905, 47125000000, 
5.543912779911858, -0.06788697321087926, 1.1108191367584188, 47227000000, 
5.537125000757979, -0.056567996104416686, 1.1090088786839427, 47295000000, 
5.526943059364635, -0.05656573515741078, 1.1071987226689648, 47397000000, 
5.51676000239163, -0.0678833278878314, 1.1053885375009496, 47499000000, 
5.50997109370402, -0.056573218868717724, 1.1035782770306857, 47567000000, 
5.4997885176008285, -0.056571615969337095, 1.101767974246432, 47669000000, 
5.489606651485358, -0.06788147406220506, 1.0999577508526803, 47771000000, 
5.4828189964194465, -0.05656507060460688, 1.098147611033709, 47839000000, 
5.472637906933205, -0.056562481840511936, 1.0963375703225338, 47941000000, 
5.462461032383071, -0.06785988012125266, 1.0945278623823815, 48043000000, 
5.455676727402713, -0.05653726510164011, 1.092718377781266, 48111000000, 
5.445499479567968, -0.05653850938367455, 1.09090914929025, 48213000000, 
5.435323537826071, -0.06784396525547187, 1.0890999829864503, 48315000000, 
5.425148277672628, -0.0678373396511341, 1.0870647530044446, 48417000000, 
5.414972221287174, -0.06783772179632368, 1.0850296024523913, 48519000000, 
5.408187831405844, -0.05653482088928167, 1.0832205553577097, 48587000000, 
5.398012096378871, -0.05653374969434447, 1.0814114766047926, 48689000000, 
5.3912284498379215, -0.056531271893073644, 1.0798285585081757, 48757000000, 
5.381053284587533, -0.056529372637793195, 1.0780195887202884, 48859000000, 
5.370878967985265, -0.0678316061755228, 1.076210713494048, 48961000000, 
5.364096589620806, -0.056522316555754536, 1.074401922812907, 49029000000, 
5.353923344861691, -0.05651874374524487, 1.0725932601645174, 49131000000, 
5.347141407515457, -0.05651727368449914, 1.0710107561331972, 49199000000, 
5.336969108721432, -0.056514120467531605, 1.069202257406572, 49301000000, 
5.326797448286956, -0.06781319742833543, 1.0673938643015897, 49403000000, 
5.316626268059428, -0.06780946887334476, 1.0653595216711877, 49505000000, 
5.309845714684122, -0.056505778676113984, 1.0635512954020336, 49573000000, 
5.2996753498157725, -0.056503060812186, 1.0617431555039547, 49675000000, 
5.289505525448481, -0.06780063078546839, 1.0599351059965583, 49777000000, 
5.282726019308569, -0.056497768357344214, 1.0581271263048548, 49845000000, 
5.272557365797002, -0.05649386550492963, 1.0563192607036036, 49947000000, 
5.265776851128929, -0.05649722726546772, 1.0547373490823, 50015000000, 
5.258995949428199, -0.0452047212293453, 1.0531553444236088, 50083000000, 
5.248825015656508, -0.05650611824140247, 1.0515731877475756, 50185000000, 
5.242044813801364, -0.056503785422782705, 1.049991051925738, 50253000000, 
5.231874604174045, -0.056501371608209304, 1.0481829622421277, 50355000000, 
5.221704799197964, -0.06780004867800098, 1.0463749478115583, 50457000000, 
5.211535733380632, -0.06779623597804374, 1.0443410091168428, 50559000000, 
5.204756664804002, -0.056493781313206405, 1.0425331464921732, 50627000000, 
5.19458828095472, -0.05649150808637297, 1.0407253786092903, 50729000000, 
5.18442014710478, -0.06778839233073874, 1.0389176728575666, 50831000000, 
5.174252167353279, -0.06778704533813833, 1.0368840396941852, 50933000000, 
5.167473534151233, -0.056488709845157935, 1.0350763899072861, 51001000000, 
5.157305813275333, -0.05648784692648512, 1.0332687676519896, 51103000000, 
5.147138282383205, -0.06778417256009324, 1.0314611753206515, 51205000000, 
5.1403599760689875, -0.05648612402115264, 1.029653604781835, 51273000000, 
5.130192683000494, -0.0564853312757041, 1.0278460627635124, 51375000000, 
5.120025770432369, -0.0677806854553964, 1.02603856196679, 51477000000, 
5.113248032786275, -0.05648216738072994, 1.0242310990812757, 51545000000, 
5.10308158987751, -0.056480601849528966, 1.022423692873077, 51647000000, 
5.096304070498009, -0.056479874294218156, 1.0208422462107862, 51715000000, 
5.086138063356321, -0.056478421737296, 1.019034914915456, 51817000000, 
5.075972145190313, -0.06777308435898632, 1.0172276186029763, 51919000000, 
5.0658044761829295, -0.0677786239113054, 1.0151943123153042, 52021000000, 
5.059025868343935, -0.05648758948792872, 1.0133868326478117, 52089000000, 
5.0488589207763335, -0.056485184688653454, 1.0115792843535463, 52191000000, 
5.0386918647193575, -0.06778001208192386, 1.0097717769226418, 52293000000, 
5.031913787487082, -0.056483777630838006, 1.007964304865518, 52361000000, 
5.02174727720083, -0.056481958395092256, 1.0061568619604846, 52463000000, 
5.011581116249487, -0.0677755707919836, 1.00434947872916, 52565000000, 
5.004803651042551, -0.0564787538609283, 1.0025421362995246, 52633000000, 
4.994637675892789, -0.05647813452232716, 1.0007348295456553, 52735000000, 
4.984471908877045, -0.06777247388502161, 0.9989275490541589, 52837000000, 
4.9776946773454975, -0.056476661824304365, 0.997120284141022, 52905000000, 
4.967528725799276, -0.05647727692589477, 0.9953130208014546, 53007000000, 
4.960751537430623, -0.05647713304958243, 0.9937316627050263, 53075000000, 
4.950585908085492, -0.05647605904594677, 0.991924411421026, 53177000000, 
4.9404202824675, -0.0677708498770772, 0.9901171818655743, 53279000000, 
4.930254703864409, -0.06777068073694419, 0.9880840596278269, 53381000000, 
4.9234778038218465, -0.05647492881884375, 0.9862768526769171, 53449000000, 
4.91331257920664, -0.05647374885922929, 0.9844696724595264, 53551000000, 
4.906535785971993, -0.05647339283284462, 0.9828884112666986, 53619000000, 
4.896370680346978, -0.056472996198874505, 0.9810812697017074, 53721000000, 
4.886205770384011, -0.06776671862660659, 0.9792741491135322, 53823000000, 
4.879429234273457, -0.056471486911737756, 0.977467045666963, 53891000000, 
4.869094344055184, -0.05703808776275743, 0.9756486232475102, 53993000000, 
4.862087876068855, -0.05780452734867344, 0.9740407636264997, 54061000000, 
4.851883178245917, -0.05737055269755764, 0.9722043598913304, 54163000000, 
4.845189434338666, -0.056328139100629095, 0.9706106992435625, 54231000000, 
4.8352946639028325, -0.05529504781028057, 0.968824485099161, 54333000000, 
4.825603101057471, -0.06528777760398323, 0.9670724799532646, 54435000000, 
4.819232837746365, -0.0535394205215578, 0.9653420401804446, 54503000000, 
4.809685110019784, -0.0530599701256218, 0.9636347365882415, 54605000000, 
4.800128825793797, -0.06368003984189426, 0.9619364515706631, 54707000000, 
4.793781046078609, -0.05301354647058313, 0.9602396654594794, 54775000000, 
4.784287466851883, -0.0528045298063784, 0.9585464892482859, 54877000000, 
4.774848822410102, -0.0631074122283574, 0.956861155689373, 54979000000, 
4.765514319827093, -0.06257715674930016, 0.9549767072726053, 55081000000, 
4.7593652034253155, -0.051612063282622245, 0.9533152230441675, 55149000000, 
4.750256949623268, -0.05085790067941668, 0.9516757648583783, 55251000000, 
4.7412885395847, -0.06025554613538375, 0.9500607128422188, 55353000000, 
4.735385989652408, -0.04956986656953433, 0.9484620985906917, 55421000000, 
4.726637515491379, -0.048836746977739175, 0.9468874696485658, 55523000000, 
4.717992184353523, -0.057979350996282264, 0.9453343792998207, 55625000000, 
4.709450352152914, -0.05729054446154791, 0.9436053367998544, 55727000000, 
4.70381119989713, -0.04726994818797792, 0.9420835824269044, 55795000000, 
4.695435378923129, -0.04671657743261726, 0.9405797953982116, 55897000000, 
4.687168421562063, -0.055475927783555555, 0.9390943333588214, 55999000000, 
4.681721188926064, -0.04571396665688473, 0.9376216659607504, 56067000000, 
4.673650409946259, -0.04506003871934894, 0.9361693346956257, 56169000000, 
4.665715079803024, -0.05335369707679819, 0.9347391119116897, 56271000000, 
4.6604258166505295, -0.04408197765243038, 0.9333194204266543, 56339000000, 
4.6524584881166104, -0.044188638954712665, 0.9319066256380109, 56441000000, 
4.6471421473943275, -0.044278897520673155, 0.9306684301440978, 56509000000, 
4.639207220111619, -0.04417089334997293, 0.9292538570415038, 56611000000, 
4.631301997598969, -0.05280049931786065, 0.9278434243403276, 56713000000, 
4.62345145393447, -0.052519220590496, 0.9262640447763372, 56815000000, 
4.618267012595326, -0.043449950012144356, 0.9248680309419176, 56883000000, 
4.610575355769973, -0.04292032721498806, 0.9234862548199847, 56985000000, 
4.6029495989077525, -0.051058045625245185, 0.9221194644848701, 57087000000, 
4.59539435793168, -0.05060332612764581, 0.920594620840627, 57189000000, 
4.590394126044577, -0.04185157621058385, 0.9192492055256006, 57257000000, 
4.582929588027334, -0.04154923301448399, 0.9179145381335727, 57359000000, 
4.575504863749155, -0.04963087431807326, 0.9165885718547379, 57461000000, 
4.568122128285916, -0.049358199138061686, 0.9151037720041604, 57563000000, 
4.563222709215451, -0.04094051511234653, 0.9137899800833682, 57631000000, 
4.555907241657829, -0.04071628876028891, 0.9124834719439464, 57733000000, 
4.548637725784879, -0.048616611435242284, 0.9111845117772105, 57835000000, 
4.541417026015016, -0.048300718809377585, 0.9097307995638483, 57937000000, 
4.534244226656081, -0.0479783304293265, 0.9082865985637317, 58039000000, 
4.529489080549866, -0.03975981821716582, 0.9070100222147308, 58107000000, 
4.522396137902895, -0.039493629177285904, 0.9057419630072561, 58209000000, 
4.515348111462494, -0.047136563624574634, 0.9044822219943502, 58311000000, 
4.508342101016906, -0.04684678961996388, 0.9030724233588197, 58413000000, 
4.503694241628919, -0.038846232778582866, 0.9018256302738878, 58481000000, 
4.49675688235951, -0.0386173955246516, 0.9005862150003556, 58583000000, 
4.489860867052437, -0.04611124858827272, 0.8993541327360578, 58685000000, 
4.4852862557988775, -0.03823542186877601, 0.8981269336807217, 58753000000, 
4.4784586243268985, -0.03800747575179564, 0.8969070498118809, 58855000000, 
4.47167370234544, -0.04537517817812642, 0.8956945721647478, 58957000000, 
4.464932028173813, -0.04508865384361904, 0.8943376236564101, 59059000000, 
4.458237367154993, -0.04478778396815505, 0.8929895398449497, 59161000000, 
4.453706011948422, -0.03742005408463515, 0.8917916938184819, 59229000000, 
4.446576747852573, -0.038868731008066724, 0.8905680084637326, 59331000000, 
4.439103471503804, -0.04867513481539317, 0.8892924154203199, 59433000000, 
4.431305448594248, -0.05090433086108348, 0.8877990445300417, 59535000000, 
4.425934028928021, -0.043898141919278544, 0.8864228632684048, 59603000000, 
4.417650223867674, -0.04551741575524737, 0.8849926467593294, 59705000000, 
4.409155793698119, -0.05592745076633913, 0.8835160030995874, 59807000000, 
4.4004977414337985, -0.05717494144625116, 0.8818202505999728, 59909000000, 
4.394645699002885, -0.048366982317447814, 0.8802866156089868, 59977000000, 
4.385763362075696, -0.049114597860340226, 0.8787271201674919, 60079000000, 
4.376757115549954, -0.05962861150976847, 0.8771444117752357, 60181000000, 
